NumberSimple,Name,Year,depth_index,Coded,HBType,HBTypeCode,WTOType,TypeMemb,3rdCountryName_1st,3rdCountryCode_1st,3rdCountryName_2nd,3rdCountryCode_2nd,NorthSouth,RegionCon,TypeDepth,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91
70,Association of Southeast Asian Nations India,2009,,1,,,FTA,3,India,356,,,3,2,2,96,116,360,418,458,104,608,702,764,704,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Association of Southeast Asian Nations Japan,2008,,1,,,FTA,3,Japan,392,,,2,2,2,96,116,360,418,458,104,608,702,764,704,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Association of Southeast Asian Nations Korea,2006,,1,,,FTA_EIA,3,Korea,410,,,3,2,2,96,116,360,418,458,104,608,702,704,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Association of Southeast Asian Nations Korea services,2007,,1,,,,3,Korea,410,,,3,2,4,96,116,360,418,458,104,608,702,704,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Australia Canada,1960,,1,PTA_PSA,1,,1,,,,,1,6,1,36,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Australia Chile,2008,,1,,,FTA_EIA,1,,,,,2,6,2,36,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Association of Southeast Asian Nations Services,1995,,0,,,,2,,,,,3,2,4,96,360,458,608,702,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Australia New Zealand (ANZCERTA),1983,,1,FTA,2,FTA_EIA,1,,,,,1,5,2,36,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Australia New Zealand (ANZCERTA) Protocol on services,1988,,1,,,,1,,,,,1,5,4,36,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Australia New Zealand Free Trade Agreement,1965,,1,PTA_PSA,1,FTA,1,,,,,1,5,2,36,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
